==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T20:34:47+00:00] GPU free=4309 MiB (need >= 35000)
[2026-08-10T20:35:47+00:00] GPU free=4309 MiB (need >= 35000)
[2026-08-10T20:36:47+00:00] GPU free=4309 MiB (need >= 35000)
[2026-08-10T20:37:47+00:00] GPU free=4309 MiB (need >= 35000)
[2026-08-10T20:38:47+00:00] GPU free=4309 MiB (need >= 35000)
[2026-08-10T20:39:47+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:40:47+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:41:47+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:42:47+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:43:47+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:44:48+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:45:48+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:46:48+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:47:48+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:48:48+00:00] GPU free=4281 MiB (need >= 35000)
[2026-08-10T20:49:48+00:00] GPU free=4889 MiB (need >= 35000)
[2026-08-10T20:50:48+00:00] GPU free=3778 MiB (need >= 35000)
[2026-08-10T20:51:48+00:00] GPU free=3778 MiB (need >= 35000)
[2026-08-10T20:52:48+00:00] GPU free=4889 MiB (need >= 35000)
[2026-08-10T20:53:48+00:00] GPU free=4889 MiB (need >= 35000)
[2026-08-10T20:54:48+00:00] GPU free=4889 MiB (need >= 35000)
[2026-08-10T20:55:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:56:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:57:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:58:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:59:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:00:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:01:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:02:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:03:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:04:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:05:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:06:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:07:48+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:08:48+00:00] GPU free=6001 MiB (need >= 35000)
